

Sign up
Forgot your password?
Remember me

    About
    Corpus
    Dictionary
    Auxiliaries

Lemma reverse dictionary

ä

by

records

17 093 records were found.
No 	lemma 	part of speech
204 	banderol’ 	NOUN
205 	sol’ 	NOUN
206 	marl’ 	NOUN (singularia tantum)
207 	petl’ 	NOUN
208 	hul’ 	NOUN
209 	kroul’ 	NOUN
210 	sül’ 	NOUN
211 	läm’ 	ADJ
212 	läm’ 	NOUN
213 	lem’ 	NOUN
214 	lihalem’ 	NOUN
215 	kalalem’ 	NOUN
216 	maim||lem’ 	NOUN
217 	ahvenlem’ 	NOUN
218 	magutez||lem’ 	NOUN (singularia tantum)
219 	nem’ 	NOUN
220 	söm’ 	NOUN
221 	tom’ 	NOUN
222 	än’ 	NOUN
223 	antta än’ 	PHRASE (Verb group)
224 	kandan’ 	NOUN
225 	täuz’kudan’ 	NOUN
226 	mužik||än’ 	NOUN
227 	rän’ 	ADJ
228 	lähtan’ 	NOUN
229 	pen’ 	ADJ
230 	stupen’ 	NOUN
231 	sen’ 	NOUN
232 	ičemii sen’ 	PHRASE (Noun group)
233 	maid||sen’ 	NOUN
234 	päisen’ 	NOUN
235 	voisen’ 	NOUN
236 	pagan||sen’ 	NOUN
237 	koiransen’ 	NOUN
238 	kandonsen’ 	NOUN
239 	lepsen’ 	NOUN
240 	kärbässen’ 	NOUN
241 	kangazsen’ 	NOUN
242 	rugiž||sen’ 	NOUN
243 	bülleten’ 	NOUN
244 	ičiin’ 	PRON (possesive, singularia tantum)
245 	niin’ 	NOUN
246 	nin’ 	NOUN (singularia tantum)
247 	avoin’ 	ADJ
248 	skamn’ 	NOUN
249 	son’ 	NOUN
250 	kaglson’ 	NOUN
251 	südäin||son’ 	NOUN
252 	aivoson’ 	NOUN
253 	bašn’ 	NOUN
254 	telebašn’ 	NOUN
255 	višn’ 	NOUN
256 	časoun’ 	NOUN
257 	muju||šampun’ 	NOUN
258 	tün’ 	ADJ
259 	časovn’ 	NOUN
260 	gruzn’ 	NOUN
261 	hebongruzn’ 	NOUN
262 	ap’ 	NOUN
263 	pap’ 	NOUN
264 	anop’ 	NOUN
265 	humbar’ 	NOUN
266 	car’ 	NOUN
267 	kalendar’ 	NOUN
268 	lehtkalendar’ 	NOUN
269 	čagar’ 	NOUN
270 	bongar’ 	NOUN
271 	bajar’ 	NOUN
272 	kar’ 	ADJ
273 	lekar’ 	NOUN
274 	leiktai||lekar’ 	NOUN
275 	sil’mlekar’ 	NOUN
276 	živatanlekar’ 	NOUN
277 	lapsenlekar’ 	NOUN
278 	hambazlekar’ 	NOUN
279 	jakkar’ 	NOUN
280 	kokar’ 	NOUN
281 	jomar’ 	NOUN
282 	ponomar’ 	NOUN
283 	sömar’ 	NOUN
284 	fonar’ 	NOUN
